"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Period","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"GBR","United Kingdom","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter","Q","Quarterly","2014-Q3","Q3-2014","PC","Percentage","0","Units",,,0.677173328,,
"GBR","United Kingdom","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter","Q","Quarterly","2014-Q4","Q4-2014","PC","Percentage","0","Units",,,0.560482829,,
"GBR","United Kingdom","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter","Q","Quarterly","2015-Q1","Q1-2015","PC","Percentage","0","Units",,,0.644738174,,
"GBR","United Kingdom","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter","Q","Quarterly","2015-Q2","Q2-2015","PC","Percentage","0","Units",,,0.738449044,,
"GBR","United Kingdom","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter","Q","Quarterly","2015-Q3","Q3-2015","PC","Percentage","0","Units",,,0.537252584,,
"GBR","United Kingdom","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter","Q","Quarterly","2015-Q4","Q4-2015","PC","Percentage","0","Units",,,0.679861698,,
"GBR","United Kingdom","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter","Q","Quarterly","2016-Q1","Q1-2016","PC","Percentage","0","Units",,,0.441647198,,
"GBR","United Kingdom","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter","Q","Quarterly","2016-Q2","Q2-2016","PC","Percentage","0","Units",,,0.577337338,,
"GBR","United Kingdom","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter","Q","Quarterly","2016-Q3","Q3-2016","PC","Percentage","0","Units",,,0.445252857,,
"GBR","United Kingdom","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter","Q","Quarterly","2016-Q4","Q4-2016","PC","Percentage","0","Units",,,0.73929692,,
"GBR","United Kingdom","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter","Q","Quarterly","2017-Q1","Q1-2017","PC","Percentage","0","Units",,,0.649836103,,
"GBR","United Kingdom","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter","Q","Quarterly","2017-Q2","Q2-2017","PC","Percentage","0","Units",,,0.310747896,,
"GBR","United Kingdom","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter","Q","Quarterly","2017-Q3","Q3-2017","PC","Percentage","0","Units",,,0.428297394,,
"GBR","United Kingdom","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter","Q","Quarterly","2017-Q4","Q4-2017","PC","Percentage","0","Units",,,0.402869485,,
"GBR","United Kingdom","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter","Q","Quarterly","2018-Q1","Q1-2018","PC","Percentage","0","Units",,,0.236706446,,
"GBR","United Kingdom","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter","Q","Quarterly","2018-Q2","Q2-2018","PC","Percentage","0","Units",,,0.54664776,,
"GBR","United Kingdom","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter","Q","Quarterly","2018-Q3","Q3-2018","PC","Percentage","0","Units",,,0.631727016,,
"GBR","United Kingdom","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter","Q","Quarterly","2018-Q4","Q4-2018","PC","Percentage","0","Units",,,0.335440843,,
"GBR","United Kingdom","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter","Q","Quarterly","2019-Q1","Q1-2019","PC","Percentage","0","Units",,,0.641957711,,
